PIA1.93
09 Mar 2020	17:44
PIEZO TYPE	PI 15 um
COMMENTS	
SCAN TYPE	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X	Z scan at fixed X	Z scan at fixed X	X scan at fixed Z	Z scan at fixed X
VERTICAL WAVEFORM	custom
LATERAL WAVEFORM	custom
SCAN STEPS	Down	Front	Down	Pause	Up	Back	Down
SCAN SPEED [nm/sec]	125000	125000	125000	0	125000	250000	250000
PAUSE [sec]	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
CHANNELS	vertical deflection, lateral deflection
NUMBER OF FORCE CURVES	1
POINTS PER CURVE	3584
SCAN RATE [Hz]	0.833328	1.249988	12.498750	1.000000	0.480769	2.499975	2.500000
TRIGGER TYPE	no trigger
CANTILEVER NAME	
CANTILEVER TYPE	0
RESONANT FREQUENCY	0.000000
VERTICAL SPRING CONSTANT [N/m]	0.000000
VERTICAL CALIBRATION COEFFICIENT [µN/V]	1.000000
OPTIC SENSOR FORCE-VOLTAGE RELATION [µN]	0+(-3.464847548173025E+3*x^0)+(4.166399346689978E+3*x^1)+(-4.272509255274562E+3*x^2)+(3.126702697620634E+3*x^3)+(-1.353651158969758E+3*x^4)+(3.443961871035622E+2*x^5)+(-4.749887193466130E+1*x^6)+(2.766192854606011E+0*x^7)
FRAME RATE [Hz]	29.999985
NUMBER OF FRAMES	36	23	2	29	62	12	12
PIEZO Z [nm]	PIEZO X [nm]	Time [s]	VERTICAL DEF	LATERAL DEF	AUX DEF
119189.15625000	200005.48437500	0.15342295	3.00922394	-0.07793427	NaN
119482.11718750	200005.48437500	0.15576753	3.00933838	-0.07339478	NaN
119775.09375000	200005.48437500	0.15811211	3.00907135	-0.07644653	NaN
120068.07031250	200005.48437500	0.16045667	3.01033020	-0.07495880	NaN
120361.03125000	200005.48437500	0.16280125	3.00876617	-0.07751465	NaN
120654.00781250	200005.48437500	0.16514581	3.00903320	-0.08457184	NaN
120946.97656250	200005.48437500	0.16749039	3.00876617	-0.07682800	NaN
121239.94531250	200005.48437500	0.16983497	3.00891876	-0.07266998	NaN
121532.91406250	200005.48437500	0.17217954	3.01063538	-0.07347107	NaN
121825.89062500	200005.48437500	0.17452411	3.00884247	-0.08743286	NaN
122118.85937500	200005.48437500	0.17686868	3.00987244	-0.07522583	NaN
122411.83593750	200005.48437500	0.17921326	3.00998688	-0.07743835	NaN
122704.79687500	200005.48437500	0.18155783	3.00895691	-0.07251740	NaN
122997.77343750	200005.48437500	0.18390240	3.00853729	-0.08972168	NaN
123290.73437500	200005.48437500	0.18624698	3.00846100	-0.07968903	NaN
123583.71875000	200005.48437500	0.18859154	3.00830841	-0.07434845	NaN
123876.68750000	200005.48437500	0.19093612	3.00914764	-0.07682800	NaN
124169.64843750	200005.48437500	0.19328070	3.00968170	-0.08342743	NaN
124462.62500000	200005.48437500	0.19562526	3.01055908	-0.07556915	NaN
124755.60156250	200005.48437500	0.19796984	3.00922394	-0.07755280	NaN
125048.56250000	200005.48437500	0.20031440	3.00815582	-0.07343292	NaN
125341.53906250	200005.48437500	0.20265898	3.00872803	-0.07778168	NaN
125634.50781250	200005.48437500	0.20500356	3.00823212	-0.08281708	NaN
125927.47656250	200005.48437500	0.20734812	3.00765991	-0.08079529	NaN
126220.44531250	200005.48437500	0.20969270	3.00842285	-0.07362366	NaN
126513.42187500	200005.48437500	0.21203727	3.00979614	-0.07389069	NaN
126806.39062500	200005.48437500	0.21438184	3.00525665	-0.08148193	NaN
127099.36718750	200005.48437500	0.21672641	3.00933838	-0.07282257	NaN
127392.32812500	200005.48437500	0.21907099	3.01116943	-0.07762909	NaN
127685.30468750	200005.48437500	0.22141556	3.00914764	-0.07274628	NaN
127978.26562500	200005.48437500	0.22376013	3.00960541	-0.08533478	NaN
128271.25000000	200005.48437500	0.22610471	3.00952911	-0.08361816	NaN
128564.21875000	200005.48437500	0.22844927	3.00888062	-0.07431030	NaN
128857.17968750	200005.48437500	0.23079385	3.01033020	-0.07606506	NaN
129150.15625000	200005.48437500	0.23313843	3.01048279	-0.07839203	NaN
129443.13281250	200005.48437500	0.23548299	3.00811768	-0.07591248	NaN
129736.09375000	200005.48437500	0.23782757	3.00960541	-0.07820129	NaN
130029.07031250	200005.48437500	0.24017213	3.00952911	-0.07518768	NaN
130322.03906250	200005.48437500	0.24251671	3.00926208	-0.07568359	NaN
130615.00781250	200005.48437500	0.24486129	3.00819397	-0.08281708	NaN
130907.97656250	200005.48437500	0.24720585	3.00914764	-0.08022308	NaN
131200.95312500	200005.48437500	0.24955043	3.00899506	-0.07244110	NaN
131493.92187500	200005.48437500	0.25189501	3.00998688	-0.07453918	NaN
131786.89062500	200005.48437500	0.25423956	3.00785065	-0.09288788	NaN
132079.85937500	200005.48437500	0.25658414	3.00941467	-0.07312775	NaN
132372.82812500	200005.48437500	0.25892872	3.00918579	-0.07701874	NaN
132665.79687500	200005.48437500	0.26127329	3.00842285	-0.07301331	NaN
132958.78125000	200005.48437500	0.26361787	3.00846100	-0.08514404	NaN
133251.75000000	200005.48437500	0.26596242	3.00914764	-0.08125305	NaN
133544.71875000	200005.48437500	0.26830700	3.00853729	-0.07400513	NaN
133837.68750000	200005.48437500	0.27065158	3.01101685	-0.07522583	NaN
134130.65625000	200005.48437500	0.27299616	3.01116943	-0.07709503	NaN
134423.62500000	200005.48437500	0.27534074	3.01429749	-0.07949829	NaN
134716.59375000	200005.48437500	0.27768528	3.00666809	-0.07621765	NaN
135009.56250000	200005.48437500	0.28002986	3.01063538	-0.07492065	NaN
135302.54687500	200005.48437500	0.28237444	3.00941467	-0.07385254	NaN
135595.50000000	200005.48437500	0.28471902	3.00876617	-0.08594513	NaN
135888.48437500	200005.48437500	0.28706360	3.00899506	-0.08026123	NaN
136181.45312500	200005.48437500	0.28940815	3.00960541	-0.07339478	NaN
136474.42187500	200005.48437500	0.29175273	3.01071167	-0.07488251	NaN
136767.39062500	200005.48437500	0.29409730	3.01162720	-0.08163452	NaN
137060.37500000	200005.48437500	0.29644188	3.00590515	-0.07297516	NaN
137353.32812500	200005.48437500	0.29878646	3.01025391	-0.07843018	NaN
137646.31250000	200005.48437500	0.30113101	3.00807953	-0.07183075	NaN
137939.28125000	200005.48437500	0.30347559	3.00807953	-0.08647919	NaN
138232.25000000	200005.48437500	0.30582017	3.00983429	-0.08186340	NaN
138525.21875000	200005.48437500	0.30816475	3.00975800	-0.07816315	NaN
138818.20312500	200005.48437500	0.31050932	3.01044464	-0.07530212	NaN
139111.15625000	200005.48437500	0.31285387	3.01151276	-0.07770538	NaN
139404.12500000	200005.48437500	0.31519845	3.00830841	-0.07621765	NaN
139697.09375000	200005.48437500	0.31754303	3.00971985	-0.07614136	NaN
139990.07812500	200005.48437500	0.31988761	3.01097870	-0.07415771	NaN
140283.03125000	200005.48437500	0.32223219	3.00922394	-0.07472992	NaN
140576.01562500	200005.48437500	0.32457674	3.01033020	-0.08209229	NaN
140868.98437500	200005.48437500	0.32692131	3.01017761	-0.08136749	NaN
141161.95312500	200005.48437500	0.32926589	3.01109314	-0.07293701	NaN
141454.92187500	200005.48437500	0.33161047	3.01193237	-0.07614136	NaN
141747.90625000	200005.48437500	0.33395505	3.01509857	-0.08544922	NaN
142040.85937500	200005.48437500	0.33629960	3.00571442	-0.07133484	NaN
142333.84375000	200005.48437500	0.33864418	3.00933838	-0.07949829	NaN
142626.81250000	200005.48437500	0.34098876	3.01048279	-0.07209778	NaN
142919.78125000	200005.48437500	0.34333333	3.00918579	-0.08365631	NaN
143212.75000000	200005.48437500	0.34567791	3.01055908	-0.08121490	NaN
143505.73437500	200005.48437500	0.34802246	3.00998688	-0.07804871	NaN
143798.68750000	200005.48437500	0.35036704	3.01139832	-0.07698059	NaN
144091.65625000	200005.48437500	0.35271162	3.01055908	-0.07484436	NaN
144384.62500000	200005.48437500	0.35505620	3.00888062	-0.07751465	NaN
144677.60937500	200005.48437500	0.35740077	3.00807953	-0.07328033	NaN
144970.56250000	200005.48437500	0.35974532	3.00937653	-0.07572174	NaN
145263.54687500	200005.48437500	0.36208990	3.00983429	-0.07415771	NaN
145556.51562500	200005.48437500	0.36443448	3.00998688	-0.08682251	NaN
145849.48437500	200005.48437500	0.36677906	3.01109314	-0.08468628	NaN
146142.45312500	200005.48437500	0.36912364	3.01193237	-0.07308960	NaN
146435.43750000	200005.48437500	0.37146819	3.01204681	-0.07736206	NaN
146728.39062500	200005.48437500	0.37381276	3.01292419	-0.07980347	NaN
147021.37500000	200005.48437500	0.37615734	3.01208496	-0.07270813	NaN
147314.34375000	200005.48437500	0.37850192	3.00853729	-0.07789612	NaN
147607.31250000	200005.48437500	0.38084647	3.00849915	-0.07183075	NaN
147900.28125000	200005.48437500	0.38319105	3.01078796	-0.08132935	NaN
148193.26562500	200005.48437500	0.38553563	3.01029205	-0.08506775	NaN
148486.21875000	200005.48437500	0.38788021	3.01052094	-0.08121490	NaN
148779.18750000	200005.48437500	0.39022478	3.01017761	-0.07583618	NaN
149072.15625000	200005.48437500	0.39256933	3.01017761	-0.07438660	NaN
149365.14062500	200005.48437500	0.39491391	3.00827026	-0.08182526	NaN
149658.09375000	200005.48437500	0.39725849	3.01044464	-0.07205963	NaN
149951.07812500	200005.48437500	0.39960307	3.00735474	-0.07545471	NaN
150244.04687500	200005.48437500	0.40194765	3.00907135	-0.07301331	NaN
150537.01562500	200005.48437500	0.40429220	3.00968170	-0.08899689	NaN
150829.98437500	200005.48437500	0.40663677	3.01036835	-0.08323669	NaN
151122.96875000	200005.48437500	0.40898135	3.01090240	-0.07438660	NaN
151415.92187500	200005.48437500	0.41132593	3.01170349	-0.07713318	NaN
151708.90625000	200005.48437500	0.41367051	3.01177979	-0.08514404	NaN
152001.87500000	200005.48437500	0.41601506	3.01338196	-0.07251740	NaN
152294.84375000	200005.48437500	0.41835964	3.00956726	-0.07709503	NaN
152587.81250000	200005.48437500	0.42070422	3.00987244	-0.07274628	NaN
152880.79687500	200005.48437500	0.42304879	3.01101685	-0.08144379	NaN
153173.75000000	200005.48437500	0.42539337	3.01124573	-0.08579254	NaN
153466.71875000	200005.48437500	0.42773792	3.01124573	-0.07896423	NaN
153759.68750000	200005.48437500	0.43008250	3.01113129	-0.07530212	NaN
154052.67187500	200005.48437500	0.43242708	3.01166534	-0.07320404	NaN
154345.62500000	200005.48437500	0.43477166	3.01010132	-0.08827209	NaN
154638.60937500	200005.48437500	0.43711624	3.01059723	-0.07236481	NaN
154931.57812500	200005.48437500	0.43946078	3.00933838	-0.07556915	NaN
155224.54687500	200005.48437500	0.44180536	3.00987244	-0.07305145	NaN
155517.51562500	200005.48437500	0.44414994	3.00987244	-0.08682251	NaN
155810.50000000	200005.48437500	0.44649452	3.01063538	-0.08083344	NaN
156103.45312500	200005.48437500	0.44883910	3.01074982	-0.07411957	NaN
156396.43750000	200005.48437500	0.45118365	3.01128387	-0.07568359	NaN
156689.40625000	200005.48437500	0.45352823	3.01269531	-0.08190155	NaN
156982.37500000	200005.48437500	0.45587280	3.00861359	-0.07270813	NaN
157275.34375000	200005.48437500	0.45821738	3.00659180	-0.07522583	NaN
157568.32812500	200005.48437500	0.46056196	3.01025391	-0.07358551	NaN
157861.28125000	200005.48437500	0.46290651	3.01109314	-0.07877350	NaN
158154.25000000	200005.48437500	0.46525109	3.01166534	-0.08472443	NaN
158447.21875000	200005.48437500	0.46759567	3.01158905	-0.07957458	NaN
158740.20312500	200005.48437500	0.46994025	3.01162720	-0.07553101	NaN
159033.15625000	200005.48437500	0.47228482	3.01082611	-0.07316589	NaN
159326.14062500	200005.48437500	0.47462937	3.01055908	-0.08399963	NaN
159619.10937500	200005.48437500	0.47697395	3.00807953	-0.07148743	NaN
159912.07812500	200005.48437500	0.47931853	3.01174164	-0.07575989	NaN
160205.04687500	200005.48437500	0.48166311	3.01013947	-0.07339478	NaN
160498.03125000	200005.48437500	0.48400769	3.01113129	-0.09105682	NaN
160790.98437500	200005.48437500	0.48635224	3.01128387	-0.08213043	NaN
161083.96875000	200005.48437500	0.48869681	3.01097870	-0.07255554	NaN
161376.93750000	200005.48437500	0.49104139	3.01074982	-0.07575989	NaN
161669.90625000	200005.48437500	0.49338597	3.00895691	-0.08041382	NaN
161962.87500000	200005.48437500	0.49573055	3.00933838	-0.07461548	NaN
162255.85937500	200005.48437500	0.49807510	3.01010132	-0.07354736	NaN
162548.81250000	200005.48437500	0.50041968	3.00872803	-0.07537842	NaN
162841.78125000	200005.48437500	0.50276423	3.01105499	-0.07873535	NaN
163134.75000000	200005.48437500	0.50510883	3.01185608	-0.08258820	NaN
163427.73437500	200005.48437500	0.50745338	3.01120758	-0.08155823	NaN
163720.68750000	200005.48437500	0.50979799	3.01074982	-0.07305145	NaN
164013.67187500	200005.48437500	0.51214254	3.01044464	-0.07179260	NaN
164306.64062500	200005.48437500	0.51448709	3.00830841	-0.07961273	NaN
164599.60937500	200005.48437500	0.51683170	3.00891876	-0.07286072	NaN
164892.57812500	200005.48437500	0.51917624	3.01036835	-0.07598877	NaN
165185.56250000	200005.48437500	0.52152085	3.01193237	-0.07354736	NaN
165478.51562500	200005.48437500	0.52386540	3.01250458	-0.08975983	NaN
165771.50000000	200005.48437500	0.52620995	3.01166534	-0.08319855	NaN
166064.46875000	200005.48437500	0.52855456	3.01128387	-0.07389069	NaN
166357.43750000	200005.48437500	0.53089911	3.01021576	-0.07339478	NaN
166650.40625000	200005.48437500	0.53324372	3.00823212	-0.07591248	NaN
166943.39062500	200005.48437500	0.53558826	3.01029205	-0.07446289	NaN
167236.34375000	200005.48437500	0.53793281	3.00941467	-0.07694244	NaN
167529.31250000	200005.48437500	0.54027742	3.00842285	-0.07560730	NaN
167822.28125000	200005.48437500	0.54262197	3.01109314	-0.07720947	NaN
168115.25000000	200005.48437500	0.54496658	3.01086426	-0.09441376	NaN
168408.21875000	200005.48437500	0.54731113	3.01067352	-0.08003235	NaN
